player,team,position,salary,origin,origin_evidence,reliability,included_in_market_calibration,notes
Ashton Jeanty,Ryan J,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Tee Higgins,Ryan J,WR,72.0,UNKNOWN,"$72, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Bucky Irving,Ryan J,RB,77.0,UNKNOWN,"$77, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jakobi Meyers,Ryan J,WR,39.0,UNKNOWN,"$39, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Brock Purdy,Ryan J,QB,5.0,UNKNOWN,"$5, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Michael Wilson,Ryan J,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Oronde Gadsden,Ryan J,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Brenton Strange,Ryan J,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Kareem Hunt,Ryan J,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Tre Harris,Ryan J,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jalen McMillan,Ryan J,WR,2.0,UNKNOWN,"$2, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Devin Neal,Ryan J,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Daniel Jones,Ryan J,QB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Ladd McConkey,Ryan J,WR,57.0,UNKNOWN,"$57, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Tyrone Tracy Jr,CJ,RB,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Ja'Marr Chase,CJ,WR,36.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Chase Brown,CJ,RB,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Sam LaPorta,CJ,TE,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Ricky Pearsall,CJ,WR,16.0,UNKNOWN,"$16, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Omarion Hampton,CJ,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
D'Andre Swift,CJ,RB,42.0,UNKNOWN,"$42, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jalen Hurts,CJ,QB,57.0,UNKNOWN,"$57, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
DeVonta Smith,CJ,WR,85.0,UNKNOWN,"$85, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Matthew Golden,CJ,WR,70.0,UNKNOWN,"$70, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Justin Herbert,CJ,QB,4.0,UNKNOWN,"$4, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Tory Horton,CJ,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jake Ferguson,CJ,TE,6.0,UNKNOWN,"$6, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Elic Ayomanor,CJ,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Parker Washington,CJ,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Cade Otton,CJ,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Dontayavion Wicks,CJ,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
CeeDee Lamb,Jason,WR,36.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Trey McBride,Jason,TE,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
AJ Brown,Jason,WR,36.0,UNKNOWN,"$36, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Bijan Robinson,Jason,RB,16.0,UNKNOWN,"$16, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jahmyr Gibbs,Jason,RB,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Kenneth Walker,Jason,RB,31.0,UNKNOWN,"$31, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Joe Burrow,Jason,QB,69.0,UNKNOWN,"$69, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Dak Prescott,Jason,QB,8.0,UNKNOWN,"$8, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Chris Godwin Jr,Jason,WR,41.0,UNKNOWN,"$41, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Nick Chubb,Jason,RB,37.0,UNKNOWN,"$37, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Josh Downs,Jason,WR,26.0,UNKNOWN,"$26, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Troy Franklin,Jason,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Quentin Johnston,Jason,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Romeo Doubs,Jason,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Luther Burden,Jason,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
James Cook,Shane,RB,79.0,UNKNOWN,"$79, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Rome Odunze,Shane,WR,6.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Caleb Williams,Shane,QB,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
George Kittle,Shane,TE,64.0,UNKNOWN,"$64, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Kyle Monangai,Shane,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jayden Higgins,Shane,WR,10.0,UNKNOWN,"$10, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
AD Mitchell,Shane,WR,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
AJ Barner,Shane,TE,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Blake Corum,Shane,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Tre Tucker,Shane,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Christian Watson,Shane,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Kayshon Boutte,Shane,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Pat Bryant,Shane,WR,7.0,UNKNOWN,"$7, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Bill Croskey-Merritt,Shane,RB,46.0,UNKNOWN,"$46, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Keaton Mitchell,Shane,RB,21.0,UNKNOWN,"$21, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Evan Hull,Shane,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Jayden Reed,Travis,WR,16.0,UNKNOWN,"$16, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Malik Nabers,Travis,WR,6.0,FRANCHISE_TAG,is_tagged_2025=True (confirmed +$5 franchise-tag escalation delta),0.4,False,tagged 2025
Woody Marks,Travis,RB,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Xavier Worthy,Travis,WR,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Baker Mayfield,Travis,QB,11.0,UNKNOWN,"$11, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Tet McMillan,Travis,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
Mark Andrews,Travis,TE,43.0,UNKNOWN,"$43, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Rashid Shaheed,Travis,WR,10.0,UNKNOWN,"$10, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Isiah Pacheco,Travis,RB,66.0,UNKNOWN,"$66, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Jared Goff,Travis,QB,27.0,UNKNOWN,"$27, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Rhamondre Stevenson,Travis,RB,32.0,UNKNOWN,"$32, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Tyler Allgeier,Travis,RB,15.0,UNKNOWN,"$15, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Hunter Henry,Travis,TE,2.0,UNKNOWN,"$2, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
Xavier Legette,Travis,WR,1.0,ADMINISTRATIVE_DOLLAR_ONE,$1 salary with no keeper/tag marker -- ambiguous (a genuine uncontested competitive-auction winner also settles at $1 in this league's rules) but NOT confirmed as a real competitive result either; treated as unreliable for calibration by default per the phase-3A instruction 'unknown $1 prices receive zero weight by default.',0.0,False,
TJ Hockenson,Travis,TE,48.0,UNKNOWN,"$48, no keeper/tag/Paul-Rule marker -- plausibly a competitive-auction result (this is what an unadorned salary in a keeper league usually represents) but NOT independently confirmed by any acquisition-method record in this repo.",0.5,True,
